Apellido,Personas,Porcentaje
RODRIGUEZ,23300,3.43
ROJAS,17635,2.59
VARGAS,16234,2.39
GONZALEZ,15780,2.32
JIMENEZ,13184,1.94
ALFARO,10323,1.52
RAMIREZ,10192,1.50
CASTRO,10151,1.49
ARAYA,9327,1.37
ALVARADO,8776,1.29
QUESADA,8496,1.25
MORA,8429,1.24
CAMPOS,8261,1.22
HERNANDEZ,8232,1.21
LOPEZ,8082,1.19
CHAVES,8003,1.18
ARIAS,7830,1.15
MURILLO,7658,1.13
SANCHEZ,7639,1.12
PEREZ,7503,1.10
SALAS,7342,1.08
VILLALOBOS,7026,1.03
SOTO,6592,0.97
HERRERA,6116,0.90
SALAZAR,6047,0.89
BARRANTES,5546,0.82
ALVAREZ,5537,0.81
VEGA,5438,0.80
MORALES,5408,0.80
GARCIA,5283,0.78
FERNANDEZ,5121,0.75
PORRAS,4756,0.70
CHAVARRIA,4713,0.69
ESPINOZA,4669,0.69
VASQUEZ,4612,0.68
CASTILLO,4604,0.68
CHACON,4571,0.67
QUIROS,4526,0.67
ARCE,4424,0.65
SOLIS,4407,0.65
GOMEZ,4402,0.65
ARROYO,4220,0.62
SOLANO,4206,0.62
ZAMORA,4058,0.60
GUTIERREZ,4031,0.59
MENDEZ,3985,0.59
MADRIGAL,3955,0.58
BOLAÑOS,3932,0.58
ZUÑIGA,3916,0.58
MOLINA,3876,0.57
MONTERO,3856,0.57
CRUZ,3613,0.53
MARTINEZ,3591,0.53
MIRANDA,3575,0.53
SEGURA,3566,0.52
HIDALGO,3492,0.51
NUÑEZ,3365,0.50
ESQUIVEL,3301,0.49
AGUILAR,3225,0.47
ALPIZAR,3187,0.47
VALVERDE,3118,0.46
MORERA,3102,0.46
RUIZ,3059,0.45
CORDERO,3049,0.45
BRENES,2926,0.43
MARIN,2843,0.42
MUÑOZ,2786,0.41
UGALDE,2742,0.40
CORRALES,2658,0.39
ARGUEDAS,2629,0.39
DELGADO,2619,0.39
CARVAJAL,2610,0.38
BLANCO,2564,0.38
ARRIETA,2515,0.37
CALVO,2470,0.36
MONGE,2469,0.36
SIBAJA,2436,0.36
TORRES,2406,0.35
VILLEGAS,2369,0.35
ACUÑA,2320,0.34
VARELA,2252,0.33
CALDERON,2185,0.32
GUZMAN,2154,0.32
CESPEDES,2152,0.32
BARQUERO,2076,0.31
DIAZ,2072,0.30
PICADO,2059,0.30
MENA,2044,0.30
ELIZONDO,2040,0.30
GAMBOA,2025,0.30
MEJIAS,1947,0.29
ARTAVIA,1883,0.28
NAVARRO,1866,0.27
DURAN,1860,0.27
RIVERA,1847,0.27
VIQUEZ,1845,0.27
SOLORZANO,1843,0.27
BADILLA,1830,0.27
AVILA,1817,0.27
PANIAGUA,1814,0.27
CUBERO,1783,0.26
CAMBRONERO,1774,0.26
UMAÑA,1773,0.26
FONSECA,1754,0.26
VENEGAS,1735,0.26
LEON,1733,0.25
CARRANZA,1731,0.25
ULATE,1685,0.25
BENAVIDES,1670,0.25
FLORES,1663,0.24
SANDOVAL,1659,0.24
REYES,1650,0.24
OBANDO,1628,0.24
SEQUEIRA,1608,0.24
FALLAS,1587,0.23
LORIA,1561,0.23
ORTIZ,1524,0.22
AGUERO,1507,0.22
OROZCO,1487,0.22
CORTES,1466,0.22
LEDEZMA,1421,0.21
MOYA,1420,0.21
CAMACHO,1419,0.21
OVIEDO,1412,0.21
CHINCHILLA,1408,0.21
GUERRERO,1377,0.20
BONILLA,1369,0.20
CASCANTE,1326,0.20
SUAREZ,1307,0.19
LOBO,1300,0.19
ABARCA,1291,0.19
SANCHO,1244,0.18
CERDAS,1219,0.18
VINDAS,1211,0.18
MATAMOROS,1170,0.17
BARBOZA,1133,0.17
MENDOZA,1132,0.17
LIZANO,1113,0.16
DUARTE,1097,0.16
ROMERO,1096,0.16
CORDOBA,1096,0.16
MONTOYA,1094,0.16
BOGANTES,1090,0.16
SANDI,1080,0.16
ZUMBADO,1073,0.16
BERMUDEZ,1050,0.15
ARGUELLO,1042,0.15
LARA,1034,0.15
SABORIO,1027,0.15
GRANADOS,1018,0.15
CARRILLO,1014,0.15
SERRANO,997,0.15
RAMOS,958,0.14
CORELLA,957,0.14
CONEJO,951,0.14
ROSALES,921,0.14
FUENTES,913,0.13
SANTAMARIA,900,0.13
VALERIO,886,0.13
MELENDEZ,868,0.13
ORTEGA,851,0.13
GARITA,834,0.12
TREJOS,832,0.12
ACOSTA,814,0.12
ANGULO,810,0.12
RETANA,804,0.12
CARMONA,798,0.12
CABEZAS,785,0.12
MESEN,783,0.12
BERROCAL,770,0.11
CARBALLO,760,0.11
MEJIA,753,0.11
JARA,749,0.11
ALEMAN,746,0.11
MEDINA,737,0.11
LEITON,735,0.11
SOLERA,733,0.11
GUEVARA,728,0.11
HURTADO,724,0.11
MADRIZ,717,0.11
OCAMPO,706,0.10
URBINA,705,0.10
NARANJO,686,0.10
AMADOR,680,0.10
PALMA,678,0.10
UREÑA,677,0.10
AGUIRRE,671,0.10
JARQUIN,671,0.10
HUERTAS,664,0.10
MATARRITA,661,0.10
MATA,631,0.09
BALLESTERO,620,0.09
CHAVERRI,618,0.09
PACHECO,604,0.09
BARAHONA,603,0.09
ROMAN,597,0.09
PADILLA,586,0.09
BALTODANO,585,0.09
RIVAS,585,0.09
GARRO,584,0.09
GUILLEN,559,0.08
LUNA,558,0.08
OVARES,558,0.08
VALENCIANO,551,0.08
MASIS,550,0.08
ROBLES,550,0.08
BARRIENTOS,537,0.08
RIOS,535,0.08
GUIDO,531,0.08
ANCHIA,519,0.08
BUSTOS,517,0.08
MOREIRA,514,0.08
AZOFEIFA,508,0.07
SAENZ,508,0.07
OPORTA,496,0.07
BRAVO,493,0.07
CALERO,490,0.07
MORENO,479,0.07
CUBILLO,475,0.07
PEÑA,475,0.07
OCONITRILLO,475,0.07
PIEDRA,472,0.07
ZELEDON,469,0.07
BRICEÑO,453,0.07
MEZA,453,0.07
PORTUGUEZ,450,0.07
ARAGON,450,0.07
PINEDA,450,0.07
PERAZA,449,0.07
ACEVEDO,431,0.06
CENTENO,420,0.06
SANABRIA,418,0.06
PALACIOS,418,0.06
MAIRENA,416,0.06
MAYORGA,412,0.06
OSES,406,0.06
PRENDAS,400,0.06
COREA,394,0.06
ULLOA,388,0.06
ROCHA,387,0.06
GUADAMUZ,382,0.06
