Apellido,Personas,Porcentaje
RODRIGUEZ,79399,2.24
VARGAS,67493,1.91
JIMENEZ,66916,1.89
MORA,64839,1.83
ROJAS,58159,1.64
GONZALEZ,56644,1.60
HERNANDEZ,49651,1.40
SANCHEZ,49536,1.40
RAMIREZ,48877,1.38
LOPEZ,39235,1.11
CASTRO,37410,1.06
ARAYA,35676,1.01
SOLANO,34780,0.98
PEREZ,33820,0.95
ALVARADO,33681,0.95
MORALES,33398,0.94
GOMEZ,33037,0.93
CHAVES,32955,0.93
CAMPOS,32715,0.92
QUESADA,32143,0.91
ARIAS,31488,0.89
ZUÑIGA,30283,0.85
QUIROS,30220,0.85
FERNANDEZ,30129,0.85
GARCIA,28194,0.80
SALAZAR,27341,0.77
GUTIERREZ,27127,0.77
BRENES,26786,0.76
VILLALOBOS,26623,0.75
CALDERON,25079,0.71
ALFARO,24956,0.70
VEGA,24717,0.70
AGUILAR,24538,0.69
VALVERDE,24332,0.69
MARTINEZ,24135,0.68
CHAVARRIA,24109,0.68
CASTILLO,23711,0.67
ALVAREZ,23257,0.66
ESPINOZA,22882,0.65
SALAS,21701,0.61
SOLIS,21574,0.61
MURILLO,21345,0.60
CHACON,21223,0.60
SOTO,21087,0.60
MENDEZ,21015,0.59
CORDERO,20999,0.59
HERRERA,20693,0.58
MONGE,20615,0.58
MONTERO,19797,0.56
DIAZ,19750,0.56
MARIN,19462,0.55
SEGURA,19343,0.55
BARRANTES,19323,0.55
MADRIGAL,19296,0.54
PORRAS,18836,0.53
NAVARRO,18522,0.52
FALLAS,18338,0.52
RIVERA,17716,0.50
TORRES,17218,0.49
FONSECA,16462,0.46
RUIZ,16413,0.46
NUÑEZ,16138,0.46
DELGADO,16018,0.45
CALVO,15986,0.45
HIDALGO,15524,0.44
ARCE,15102,0.43
OBANDO,14842,0.42
ZAMORA,14316,0.40
MOLINA,14180,0.40
CRUZ,13874,0.39
MUÑOZ,13767,0.39
VASQUEZ,13402,0.38
BONILLA,13044,0.37
MIRANDA,13004,0.37
PICADO,12964,0.37
FLORES,12906,0.36
MENA,12812,0.36
GAMBOA,12758,0.36
BADILLA,12739,0.36
UMAÑA,12594,0.36
ESQUIVEL,12310,0.35
CORRALES,11904,0.34
CAMACHO,11813,0.33
ARROYO,11604,0.33
CHINCHILLA,11551,0.33
GUZMAN,11533,0.33
GRANADOS,11508,0.32
CERDAS,11151,0.31
ACUÑA,11106,0.31
ABARCA,10989,0.31
ELIZONDO,10970,0.31
CASCANTE,10945,0.31
ORTIZ,10863,0.31
BARQUERO,10783,0.30
ARGUEDAS,10696,0.30
BLANCO,10476,0.30
BOLAÑOS,10423,0.29
CARVAJAL,10283,0.29
LEON,10139,0.29
UREÑA,10026,0.28
DURAN,9989,0.28
CORTES,9980,0.28
AGUERO,9621,0.27
ROMERO,9604,0.27
CESPEDES,9321,0.26
SERRANO,9010,0.25
VILLEGAS,9003,0.25
BERMUDEZ,9000,0.25
BARBOZA,8864,0.25
REYES,8550,0.24
VENEGAS,8474,0.24
SANDI,8405,0.24
ARTAVIA,8354,0.24
MATA,8339,0.24
ANGULO,8158,0.23
SEQUEIRA,8093,0.23
