Apellido,Personas,Porcentaje
RODRIGUEZ,9706,2.73
VARGAS,8655,2.43
GONZALEZ,8183,2.30
SANCHEZ,7807,2.19
RAMIREZ,7616,2.14
HERNANDEZ,7457,2.10
JIMENEZ,5030,1.41
VILLALOBOS,4990,1.40
ROJAS,4946,1.39
CAMPOS,4863,1.37
CHAVES,4671,1.31
MORA,4138,1.16
ARAYA,3794,1.07
ALFARO,3696,1.04
SALAS,3453,0.97
MONTERO,3433,0.97
ARCE,3223,0.91
LOPEZ,3189,0.90
ALVARADO,3180,0.89
SOLIS,2975,0.84
ARIAS,2954,0.83
MURILLO,2917,0.82
ZAMORA,2855,0.80
ESPINOZA,2828,0.79
CASTRO,2827,0.79
CHAVARRIA,2776,0.78
GOMEZ,2765,0.78
MORALES,2728,0.77
SALAZAR,2713,0.76
SOTO,2700,0.76
HERRERA,2667,0.75
GARCIA,2624,0.74
CHACON,2617,0.74
PEREZ,2532,0.71
SOLANO,2499,0.70
ZUÑIGA,2477,0.70
BOLAÑOS,2419,0.68
AGUILAR,2414,0.68
VEGA,2403,0.68
VIQUEZ,2307,0.65
FERNANDEZ,2298,0.65
SEGURA,2277,0.64
QUESADA,2273,0.64
GUTIERREZ,2248,0.63
ALVAREZ,2200,0.62
DELGADO,2138,0.60
BRENES,2112,0.59
BARRANTES,2098,0.59
ESQUIVEL,2067,0.58
ARGUEDAS,2047,0.58
MIRANDA,2017,0.57
FONSECA,2006,0.56
BARQUERO,1979,0.56
QUIROS,1944,0.55
MADRIGAL,1938,0.54
CORDERO,1870,0.53
CALDERON,1838,0.52
CAMACHO,1814,0.51
CASTILLO,1753,0.49
NUÑEZ,1731,0.49
MARTINEZ,1711,0.48
LEON,1688,0.47
RUIZ,1665,0.47
MARIN,1655,0.47
CARVAJAL,1575,0.44
VALERIO,1558,0.44
MENDEZ,1512,0.43
BENAVIDES,1482,0.42
CORTES,1455,0.41
CARBALLO,1439,0.40
PORRAS,1438,0.40
VALVERDE,1434,0.40
ARROYO,1393,0.39
DIAZ,1340,0.38
UGALDE,1337,0.38
VILLEGAS,1329,0.37
MONGE,1320,0.37
HIDALGO,1316,0.37
MUÑOZ,1297,0.36
CASCANTE,1267,0.36
BONILLA,1265,0.36
VINDAS,1257,0.35
OVIEDO,1228,0.35
GARITA,1217,0.34
ULATE,1208,0.34
CALVO,1163,0.33
ZUMBADO,1111,0.31
VENEGAS,1110,0.31
MOLINA,1094,0.31
TORRES,1084,0.30
UMAÑA,1080,0.30
RIVERA,1073,0.30
OROZCO,1033,0.29
PANIAGUA,1025,0.29
GUZMAN,1011,0.28
ARTAVIA,1003,0.28
ACUÑA,994,0.28
FLORES,992,0.28
CRUZ,964,0.27
PICADO,954,0.27
CORRALES,942,0.26
MENA,937,0.26
BADILLA,910,0.26
VASQUEZ,907,0.25
AZOFEIFA,905,0.25
