Apellido,Personas,Porcentaje
JIMENEZ,5713,1.94
RODRIGUEZ,5309,1.80
HERNANDEZ,4909,1.66
MORA,4645,1.57
LOPEZ,4502,1.53
VARGAS,4326,1.47
MORALES,4142,1.40
SANCHEZ,4030,1.37
GONZALEZ,3772,1.28
ROJAS,3575,1.21
PEREZ,3427,1.16
GARCIA,3267,1.11
RAMIREZ,3237,1.10
MARTINEZ,3100,1.05
GOMEZ,2873,0.97
SOLANO,2666,0.90
ZUÑIGA,2639,0.89
CHAVES,2625,0.89
ARAYA,2590,0.88
QUIROS,2482,0.84
ALVARADO,2475,0.84
GUTIERREZ,2449,0.83
ESPINOZA,2427,0.82
FERNANDEZ,2413,0.82
CASTRO,2382,0.81
DIAZ,2382,0.81
ARIAS,2293,0.78
TORRES,2286,0.78
CASTILLO,2260,0.77
SALAZAR,2163,0.73
CHAVARRIA,2103,0.71
AGUILAR,2054,0.70
CAMPOS,2032,0.69
BRENES,2026,0.69
ALVAREZ,1847,0.63
CALDERON,1844,0.63
OBANDO,1714,0.58
VEGA,1686,0.57
VILLALOBOS,1557,0.53
RUIZ,1501,0.51
QUESADA,1469,0.50
MARIN,1446,0.49
CRUZ,1426,0.48
CORDERO,1424,0.48
HERRERA,1422,0.48
SALAS,1396,0.47
MENDEZ,1395,0.47
PORRAS,1355,0.46
SOLIS,1321,0.45
NUÑEZ,1320,0.45
RIVERA,1315,0.45
MOLINA,1310,0.44
MADRIGAL,1306,0.44
BARRANTES,1300,0.44
VALVERDE,1294,0.44
MENDOZA,1294,0.44
ALFARO,1250,0.42
CERDAS,1213,0.41
REYES,1176,0.40
FLORES,1145,0.39
CORTES,1144,0.39
MONTERO,1118,0.38
DELGADO,1111,0.38
SOTO,1093,0.37
FONSECA,1063,0.36
SEGURA,1060,0.36
BONILLA,1050,0.36
MUÑOZ,1045,0.35
LEON,1042,0.35
MATARRITA,1040,0.35
MURILLO,1020,0.35
CHACON,1010,0.34
MENA,986,0.33
MONGE,983,0.33
GAMBOA,983,0.33
CUBILLO,982,0.33
PICADO,976,0.33
UMAÑA,947,0.32
BADILLA,939,0.32
ARCE,938,0.32
ORTIZ,938,0.32
FALLAS,935,0.32
BERMUDEZ,933,0.32
GUZMAN,930,0.32
CARRILLO,906,0.31
NAVARRO,896,0.30
MIRANDA,883,0.30
VASQUEZ,882,0.30
ROSALES,863,0.29
VILLEGAS,857,0.29
DURAN,856,0.29
HIDALGO,838,0.28
CALVO,826,0.28
ELIZONDO,812,0.28
ROMERO,812,0.28
ESQUIVEL,787,0.27
GRANADOS,782,0.27
CASCANTE,777,0.26
SEQUEIRA,771,0.26
BROWN,770,0.26
MOYA,766,0.26
AGUERO,765,0.26
ANGULO,740,0.25
ZAMORA,736,0.25
CESPEDES,736,0.25
SERRANO,728,0.25
ORTEGA,728,0.25
ACUÑA,700,0.24
DUARTE,699,0.24
FAJARDO,670,0.23
BARBOZA,662,0.22
BLANCO,659,0.22
BARQUERO,655,0.22
BALTODANO,641,0.22
CAMACHO,632,0.21
ABARCA,628,0.21
AGUIRRE,626,0.21
CORRALES,618,0.21
CENTENO,615,0.21
FUENTES,613,0.21
ARTAVIA,612,0.21
BUSTOS,600,0.20
AZOFEIFA,597,0.20
VENEGAS,592,0.20
ARROYO,588,0.20
SANDI,588,0.20
URBINA,581,0.20
ARRIETA,574,0.19
GUEVARA,573,0.19
PEREIRA,572,0.19
SANDOVAL,568,0.19
CHINCHILLA,559,0.19
VINDAS,558,0.19
ARGUEDAS,551,0.19
PANIAGUA,527,0.18
MATA,520,0.18
MONTOYA,519,0.18
SMITH,513,0.17
BENAVIDES,497,0.17
CARRANZA,487,0.17
MAYORGA,485,0.16
JUAREZ,473,0.16
SUAREZ,466,0.16
GUERRERO,465,0.16
RIOS,464,0.16
CASTRILLO,463,0.16
MEZA,458,0.16
MARCHENA,458,0.16
RIVAS,457,0.15
VARELA,445,0.15
VILLARREAL,439,0.15
MEDINA,435,0.15
COTO,431,0.15
CORDOBA,427,0.14
MATAMOROS,413,0.14
MASIS,403,0.14
GODINEZ,400,0.14
MONTIEL,398,0.13
RETANA,397,0.13
GUIDO,396,0.13
TREJOS,384,0.13
GUILLEN,384,0.13
CARVAJAL,383,0.13
CAMBRONERO,383,0.13
UGALDE,378,0.13
MESEN,378,0.13
GARITA,366,0.12
AMADOR,363,0.12
LOAIZA,363,0.12
CARMONA,352,0.12
SIBAJA,347,0.12
ULLOA,346,0.12
LEIVA,343,0.12
SANABRIA,343,0.12
RAMOS,341,0.12
ALEMAN,341,0.12
MORERA,336,0.11
OBREGON,336,0.11
OROZCO,335,0.11
PIZARRO,334,0.11
WILLIAMS,334,0.11
SOLORZANO,333,0.11
BOLAÑOS,332,0.11
ROBLES,331,0.11
AVILA,330,0.11
SAENZ,325,0.11
MEDRANO,324,0.11
MORENO,323,0.11
BARAHONA,323,0.11
ACOSTA,321,0.11
ALPIZAR,320,0.11
LOBO,315,0.11
VALENCIA,315,0.11
PARRA,314,0.11
PADILLA,311,0.11
CEDEÑO,309,0.10
UREÑA,306,0.10
WILSON,305,0.10
BERROCAL,304,0.10
JARQUIN,302,0.10
LUNA,301,0.10
MADRIZ,300,0.10
PEÑA,293,0.10
MORAGA,292,0.10
LORIA,290,0.10
PALMA,289,0.10
PERAZA,288,0.10
PIEDRA,285,0.10
CONTRERAS,281,0.10
HURTADO,281,0.10
JARA,280,0.09
ACEVEDO,276,0.09
OPORTA,276,0.09
MEJIA,274,0.09
GARRO,267,0.09
MEJIAS,266,0.09
SOJO,261,0.09
OVIEDO,259,0.09
SELLES,257,0.09
CHEVEZ,256,0.09
VALLEJOS,254,0.09
OCAMPO,253,0.09
BRICEÑO,251,0.09
LEAL,249,0.08
LEWIS,249,0.08
GUADAMUZ,243,0.08
CUBERO,241,0.08
JIRON,237,0.08
VALLADARES,236,0.08
VANEGAS,234,0.08
TAYLOR,234,0.08
ARAGON,233,0.08
ROMAN,231,0.08
CARDENAS,231,0.08
CARBALLO,229,0.08
COREA,229,0.08
SILVA,228,0.08
MELENDEZ,226,0.08
LEITON,225,0.08
BLANDON,222,0.08
VALERIN,221,0.07
PRADO,219,0.07
ENRIQUEZ,219,0.07
LARA,218,0.07
BARRIOS,217,0.07
TENORIO,214,0.07
VELASQUEZ,214,0.07
VILLAFUERTE,214,0.07
VILLANUEVA,213,0.07
GRANT,213,0.07
CANALES,212,0.07
MONTES,212,0.07
NAJERA,212,0.07
THOMAS,212,0.07
PERALTA,210,0.07
DAVILA,210,0.07
SABORIO,208,0.07
RUGAMA,204,0.07
DAVIS,203,0.07
AVILES,202,0.07
CAMPBELL,202,0.07
ESTRADA,200,0.07
SANCHO,199,0.07
REID,199,0.07
ZAPATA,193,0.07
WATSON,190,0.06
LEDEZMA,189,0.06
BATISTA,186,0.06
SALGUERA,186,0.06
ROCHA,185,0.06
LEANDRO,184,0.06
MORGAN,184,0.06
JACKSON,184,0.06
MONTENEGRO,183,0.06
JAEN,182,0.06
GORDON,182,0.06
ARGUELLO,180,0.06
BRAVO,180,0.06
VILLAGRA,180,0.06
WRIGHT,180,0.06
VALERIO,178,0.06
NARANJO,177,0.06
BRIONES,177,0.06
PAEZ,176,0.06
ZELEDON,172,0.06
ANCHIA,172,0.06
SOSA,172,0.06
ELLIS,170,0.06
BRYAN,170,0.06
VICTOR,167,0.06
VIQUEZ,166,0.06
