Apellido,Personas,Porcentaje
MORA,31769,2.74
JIMENEZ,23877,2.06
VARGAS,22908,1.98
RODRIGUEZ,20091,1.74
ROJAS,17142,1.48
SANCHEZ,15640,1.35
HERNANDEZ,15401,1.33
GONZALEZ,15025,1.30
CASTRO,14855,1.28
RAMIREZ,12805,1.11
VALVERDE,12655,1.09
FERNANDEZ,11491,0.99
ARIAS,11177,0.97
LOPEZ,10990,0.95
SOLANO,10908,0.94
FALLAS,10868,0.94
MORALES,10831,0.94
ZUÑIGA,10679,0.92
QUESADA,10517,0.91
CALDERON,10468,0.90
QUIROS,10400,0.90
MONGE,10119,0.87
SALAZAR,9810,0.85
PEREZ,9608,0.83
ARAYA,9403,0.81
ALVARADO,9240,0.80
CAMPOS,9180,0.79
SOLIS,8877,0.77
GARCIA,8706,0.75
MARIN,8628,0.75
CHAVES,8540,0.74
AGUILAR,8241,0.71
CHACON,8102,0.70
GOMEZ,8023,0.69
CORDERO,7889,0.68
GUTIERREZ,7836,0.68
MADRIGAL,7530,0.65
CHAVARRIA,7484,0.65
CASTILLO,7466,0.64
NAVARRO,7448,0.64
DIAZ,7376,0.64
SEGURA,7266,0.63
VEGA,7037,0.61
RIVERA,6976,0.60
BRENES,6869,0.59
PORRAS,6813,0.59
MONTERO,6767,0.58
MENDEZ,6709,0.58
CHINCHILLA,6592,0.57
HIDALGO,6481,0.56
DELGADO,6415,0.55
MARTINEZ,6400,0.55
HERRERA,6385,0.55
UREÑA,6302,0.54
FONSECA,6238,0.54
GAMBOA,6233,0.54
VILLALOBOS,6191,0.53
SOTO,6040,0.52
ALVAREZ,5945,0.51
UMAÑA,5788,0.50
MURILLO,5641,0.49
MENA,5565,0.48
BADILLA,5561,0.48
CALVO,5452,0.47
BONILLA,5416,0.47
ALFARO,5385,0.47
BARRANTES,5277,0.46
CORRALES,5271,0.46
ESPINOZA,5264,0.45
FLORES,5154,0.45
TORRES,5131,0.44
ABARCA,5076,0.44
MUÑOZ,4881,0.42
SALAS,4832,0.42
PICADO,4697,0.41
BARBOZA,4558,0.39
CASCANTE,4549,0.39
NUÑEZ,4432,0.38
BLANCO,4418,0.38
AGUERO,4411,0.38
ACUÑA,4334,0.37
ELIZONDO,4326,0.37
SANDI,4324,0.37
DURAN,4129,0.36
CRUZ,4071,0.35
GRANADOS,4008,0.35
GARRO,3956,0.34
CAMACHO,3948,0.34
BERMUDEZ,3946,0.34
RUIZ,3925,0.34
GUZMAN,3860,0.33
ESQUIVEL,3858,0.33
OBANDO,3851,0.33
ZAMORA,3802,0.33
CERDAS,3757,0.32
LEON,3712,0.32
ARCE,3709,0.32
ROMERO,3636,0.31
ORTIZ,3567,0.31
RETANA,3407,0.29
CARVAJAL,3399,0.29
MOLINA,3353,0.29
MIRANDA,3202,0.28
PADILLA,3124,0.27
ARGUEDAS,3109,0.27
MATA,3028,0.26
VASQUEZ,3024,0.26
VINDAS,3006,0.26
CESPEDES,2932,0.25
ARROYO,2876,0.25
BARQUERO,2861,0.25
ARTAVIA,2823,0.24
VENEGAS,2819,0.24
ANGULO,2737,0.24
AZOFEIFA,2689,0.23
SIBAJA,2598,0.22
NARANJO,2540,0.22
MONTOYA,2479,0.21
SEQUEIRA,2469,0.21
ORTEGA,2420,0.21
ALPIZAR,2399,0.21
SERRANO,2378,0.21
BOLAÑOS,2328,0.20
LEIVA,2287,0.20
REYES,2248,0.19
PRADO,2244,0.19
GUEVARA,2223,0.19
PIEDRA,2200,0.19
MASIS,2145,0.19
GUERRERO,2090,0.18
CORTES,2082,0.18
BENAVIDES,2047,0.18
ROBLES,2044,0.18
CORDOBA,2008,0.17
VARELA,1989,0.17
AMADOR,1981,0.17
SANDOVAL,1953,0.17
GODINEZ,1939,0.17
ULLOA,1870,0.16
OROZCO,1832,0.16
MESEN,1804,0.16
MENDOZA,1761,0.15
CARMONA,1702,0.15
LIZANO,1702,0.15
MOYA,1700,0.15
SABORIO,1658,0.14
DUARTE,1630,0.14
COTO,1630,0.14
SAENZ,1630,0.14
TREJOS,1617,0.14
FUENTES,1578,0.14
TENORIO,1564,0.14
AVILA,1560,0.13
CARRILLO,1544,0.13
GARITA,1539,0.13
VILLEGAS,1532,0.13
CAMBRONERO,1509,0.13
CUBILLO,1490,0.13
ROMAN,1440,0.12
LORIA,1438,0.12
RIOS,1421,0.12
ZELEDON,1418,0.12
GUILLEN,1409,0.12
ROSALES,1386,0.12
MATAMOROS,1379,0.12
MEZA,1365,0.12
MELENDEZ,1364,0.12
LEITON,1334,0.12
SANABRIA,1332,0.12
ACOSTA,1328,0.11
CECILIANO,1296,0.11
BARRIENTOS,1283,0.11
MATARRITA,1269,0.11
MADRIZ,1259,0.11
OVIEDO,1258,0.11
UGALDE,1246,0.11
MORENO,1229,0.11
VIQUEZ,1210,0.10
CARDENAS,1201,0.10
CEDEÑO,1176,0.10
LOBO,1174,0.10
RAMOS,1172,0.10
PEÑA,1168,0.10
VILLALTA,1160,0.10
ARRIETA,1132,0.10
JARA,1129,0.10
SANCHO,1127,0.10
MEJIA,1127,0.10
PANIAGUA,1107,0.10
PACHECO,1106,0.10
CARBALLO,1105,0.10
ULATE,1094,0.09
CUBERO,1091,0.09
PORTUGUEZ,1080,0.09
RIVAS,1077,0.09
LOAIZA,1065,0.09
SUAREZ,1049,0.09
MORERA,1021,0.09
BALTODANO,1015,0.09
CARRANZA,1002,0.09
SOLORZANO,1001,0.09
CONTRERAS,995,0.09
BARAHONA,993,0.09
BUSTAMANTE,981,0.08
VALERIO,944,0.08
BEJARANO,942,0.08
MONTENEGRO,941,0.08
ESTRADA,938,0.08
MONTES,927,0.08
AGUIRRE,892,0.08
ARGUELLO,888,0.08
MEDINA,880,0.08
BRICEÑO,876,0.08
MAYORGA,874,0.08
PEREIRA,866,0.07
LARA,855,0.07
ANCHIA,853,0.07
